Movie_name,Adult,GenreList,Budget,Popularity,VoteAvg,VoteCount,Overview,Tagline,Revenue,ReleaseDate,Runtime,OriginalLanguage
Finding 'Ohana,FALSE,"['Action', 'Adventure', 'Comedy', 'Family']",0,340.397,6.6,193,"Two Brooklyn siblings' summer in a rural Oahu town takes an exciting turn when a journal pointing to long-lost treasure sets them on an adventure, leading them to reconnect with their Hawaiian heritage.",Home is where 'Ohana is.,0,1/29/2021,123,en
,,,,,,,,,,,,
Godzilla: King of the Monsters,FALSE,"['Science Fiction', 'Action']",170000000,338.754,6.7,3761,"Follows the heroic efforts of the crypto-zoological agency Monarch as its members face off against a battery of god-sized monsters, including the mighty Godzilla, who collides with Mothra, Rodan, and his ultimate nemesis, the three-headed King Ghidorah. When these ancient super-species, thought to be mere myths, rise again, they all vie for supremacy, leaving humanity's very existence hanging in the balance.",Long live the king.,386600138,5/29/2019,132,en
,,,,,,,,,,,,
Bloodshot,FALSE,"['Action', 'Science Fiction']",42000000,331.227,6.9,3657,"After he and his wife are murdered, marine Ray Garrison is resurrected by a team of scientists. Enhanced with nanotechnology, he becomes a superhuman, biotech killing machine—'Bloodshot'. As Ray first trains with fellow super-soldiers, he cannot recall anything from his former life. But when his memories flood back and he remembers the man that killed both him and his wife, he breaks out of the facility to get revenge, only to discover that there's more to the conspiracy than he thought.",Being a superhero is in his blood,33542457,3/5/2020,110,en
,,,,,,,,,,,,
シン・エヴァンゲリオン劇場版:||,FALSE,"['Animation', 'Action', 'Drama', 'Science Fiction']",0,331.219,7.7,3,"In the aftermath of the Fourth Impact, stranded without their Evangelions, Shinji, Asuka, and Rei search for refuge in the desolate red remains of Tokyo-3. But the danger to the world is far from over. A new impact is looming on the horizon—one that will prove to be the true end of Evangelion.","Bye-bye, all of EVANGELION.",0,3/8/2021,155,ja
,,,,,,,,,,,,
The Doorman,FALSE,"['Action', 'Thriller']",0,328.341,5.8,184,"A former Marine turned doorman at a luxury New York City high-rise must outsmart and battle a group of art thieves and their ruthless leader — while struggling to protect her sister's family. As the thieves become increasingly desperate and violent, the doorman calls upon her deadly fighting skills to end the showdown.",Be careful who you trust.,118666,10/1/2020,97,en
,,,,,,,,,,,,
We Can Be Heroes,FALSE,"['Action', 'Fantasy', 'Family', 'Drama', 'Comedy']",0,328.274,6.3,414,"When alien invaders capture Earth's superheroes, their kids must learn to work together to save their parents - and the planet.",Power comes in all sizes.,0,12/25/2020,97,en
,,,,,,,,,,,,
Legionnaire's Trail,FALSE,"['History', 'Action', 'Adventure']",0,316.616,6.6,59,"Noreno, a half-Roman, is entrusted with the mission of crossing the snowy mountains of Armenia, swarming with Parthian patrols, to seek help for his slowly dying men.",,0,5/8/2020,96,en
,,,,,,,,,,,,
Avengers: Infinity War,FALSE,"['Adventure', 'Action', 'Science Fiction']",300000000,312.331,8.3,21267,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",An entire universe. Once and for all.,2046239637,4/25/2018,149,en
,,,,,,,,,,,,
Assassin 33 A.D.,FALSE,"['Science Fiction', 'Action', 'Adventure', 'Mystery', 'History', 'Fantasy']",0,309.878,5.4,46,"When a billionaire gives a group of young scientists unlimited resources to study the science of matter transfer, the scientists unlock the secrets of time travel. But they soon find out that the project is backed by a militant extremist group, and the billionaire plans to go back in time and prove that Jesus never rose from the dead.",What if the greatest event in human history was erased?,0,1/24/2020,108,en
,,,,,,,,,,,,
Dragonheart: Vengeance,FALSE,"['Fantasy', 'Action', 'Adventure']",0,308.849,6.9,206,"Lukas, a young farmer whose family is killed by savage raiders in the countryside, sets out on an epic quest for revenge, forming an unlikely trio with a majestic dragon and a swashbuckling, sword-fighting mercenary, Darius.",,0,2/4/2020,97,en
,,,,,,,,,,,,
The SpongeBob Movie: Sponge on the Run,FALSE,"['Animation', 'Fantasy', 'Adventure', 'Comedy', 'Family']",60000000,304.423,7.8,2090,"When his best friend Gary is suddenly snatched away, SpongeBob takes Patrick on a madcap mission far beyond Bikini Bottom to save their pink-shelled pal.",They're Not in Bikini Bottom Anymore.,4700000,8/14/2020,95,en
,,,,,,,,,,,,
Fast & Furious Presents: Hobbs & Shaw,FALSE,"['Action', 'Adventure', 'Comedy']",200000000,304.085,6.9,4689,"Ever since US Diplomatic Security Service Agent Hobbs and lawless outcast Shaw first faced off, they just have swapped smacks and bad words. But when cyber-genetically enhanced anarchist Brixton's ruthless actions threaten the future of humanity, both join forces to defeat him. (A spin-off of “The Fate of the Furious,” focusing on Johnson's Luke Hobbs and Statham's Deckard Shaw.)",,760098996,8/1/2019,137,en
,,,,,,,,,,,,
Extraction,FALSE,"['Drama', 'Action', 'Thriller']",65000000,303.866,7.4,3657,"Tyler Rake, a fearless mercenary who offers his services on the black market, embarks on a dangerous mission when he is hired to rescue the kidnapped son of a Mumbai crime lord.","When the mission ends, redemption begins",0,4/24/2020,116,en
,,,,,,,,,,,,
