Movie_name,Adult,GenreList,Budget,Popularity,VoteAvg,VoteCount,Overview,Tagline,Revenue,ReleaseDate,Runtime,OriginalLanguage
Batman: Soul of the Dragon,False,"['Animation', 'Action', 'Adventure', 'Crime', 'Fantasy']",0,354.859,7.1,116,"Bruce Wayne faces a deadly menace from his past, with the help of three former classmates: world-renowned martial artists Richard Dragon, Ben Turner and Lady Shiva.",Get ready for the ultimate showdown.,0,2021-01-12,83,en
반도,False,"['Action', 'Horror', 'Thriller']",17000000,341.896,7.0,1361,A soldier and his team battle hordes of post-apocalyptic zombies in the wastelands of the Korean Peninsula.,Escape the apocalypse.,39657073,2020-07-15,116,ko
The New Mutants,False,"['Action', 'Horror', 'Science Fiction']",67000000,316.646,6.4,1756,"Five young mutants, just discovering their abilities while held in a secret facility against their will, fight to escape their past sins and save themselves.",It's time to face your demons.,45534613,2020-08-26,94,en
"Devoto, la invasión silenciosa",False,"['Science Fiction', 'Thriller', 'Action']",0,330.646,2.9,5,"Five strangers wake up locked in a strange building. They don't know who took them there or for what purpose. Throughout a night they will discover with surprise that an invasion is taking place outside that complex. And this motley group of strangers, for a reason they will have to figure out, are the ones chosen to try to stop it.",,0,2020-05-07,72,es
Terminator: Dark Fate,False,"['Action', 'Adventure', 'Science Fiction']",185000000,323.974,6.5,3390,"Decades after Sarah Connor prevented Judgment Day, a lethal new Terminator is sent to eliminate the future leader of the resistance. In a fight to save mankind, battle-hardened Sarah Connor teams up with an unexpected ally and an enhanced super soldier to stop the deadliest Terminator yet.",Welcome to the day after judgement day,261119292,2019-10-23,128,en
Underwater,False,"['Action', 'Horror', 'Science Fiction', 'Thriller']",80000000,302.882,6.3,2004,"After an earthquake destroys their underwater station, six researchers must navigate two miles along the dangerous, unknown depths of the ocean floor to make it to safety in a race against time.",7 miles below the ocean surface something has awakened,40882928,2020-01-08,95,en
Avengers: Infinity War,False,"['Adventure', 'Action', 'Science Fiction']",300000000,355.435,8.3,21450,"As the Avengers and their allies have continued to protect the world from threats too large for any one hero to handle, a new danger has emerged from the cosmic shadows: Thanos. A despot of intergalactic infamy, his goal is to collect all six Infinity Stones, artifacts of unimaginable power, and use them to inflict his twisted will on all of reality. Everything the Avengers have fought for has led up to this moment - the fate of Earth and existence itself has never been more uncertain.",An entire universe. Once and for all.,2046239637,2018-04-25,149,en
Grand Isle,False,"['Thriller', 'Action']",0,311.594,6.0,153,"Walter and his neglected wife lure a young man into their Victorian home to escape a hurricane. When the man is charged with murder by Det. Jones, he must reveal the couple's wicked secrets to save himself.",A storm is coming,0,2019-12-06,97,en
劇場版 NARUTO -ナルト- 疾風伝,False,"['Family', 'Action', 'Animation', 'Adventure', 'Fantasy']",29000000,359.912,7.1,294,"Demons that once almost destroyed the world, are revived by someone. To prevent the world from being destroyed, the demon has to be sealed and the only one who can do it is the shrine maiden Shion from the country of demons, who has two powers; one is sealing demons and the other is predicting the deaths of humans. This time Naruto's mission is to guard Shion, but she predicts Naruto's death. The only way to escape it, is to get away from Shion, which would leave her unguarded, then the demon, whose only goal is to kill Shion will do so, thus meaning the end of the world. Naruto decides to challenge this ""prediction of death.""",,0,2007-08-04,94,ja
Спутник,False,"['Science Fiction', 'Drama', 'Horror']",0,303.81,6.5,259,"At the height of the Cold War, a Soviet spacecraft crash lands after a mission gone awry, leaving the commander as its only survivor. After a renowned Russian psychologist is brought in to evaluate the commander’s mental state, it becomes clear that something dangerous may have come back to Earth with him…",The only survivor did not come back alone,0,2020-09-08,113,ru
Tóxico,False,"['Thriller', 'Science Fiction']",0,309.965,7.4,21,"In the middle of a mysterious insomnia epidemic that slowly takes on catastrophic dimensions, Laura (39) and Augusto (42) flee the city in their motorhome to get away from the chaos. As they move down the route, the world becomes an increasingly strange and dangerous place. Finally, Laura reveals a story that changes everything. The road is depopulating, the silence grows and it is increasingly difficult to differentiate the reality from the dream.",,0,2020-04-23,80,es
Яга. Кошмар тёмного леса,False,['Horror'],0,299.74,6.2,115,"The young family who moved to a new apartment on the outskirts of the city. The nanny hired by them for the newborn daughter quickly gained confidence. However, the older boy, Egor, talks about the frightening behavior of a woman, but his parents do not believe him. The surveillance cameras installed by the father for comfort only confirm everything is in order. Then one day, Egor, returning home, finds no trace of either the nanny or the little sister, and the parents are in a strange trance and do not even remember that they had a daughter. Then Egor, together with his friends, goes in search, during which it turns out that the nanny is an ancient Slavic demon, popularly known as Baba Yaga.",,0,2020-02-27,96,ru
Bad Trip,False,['Comedy'],0,545.042,6.3,90,Two pals embark on a road trip full of funny pranks that pull real people into mayhem.,Friendships run deep.,0,2021-03-26,87,en
El camino de Xico,False,"['Animation', 'Family']",0,296.17,7.1,58,"The peace of a small town is endangered when a corporation wants to destroy the mountain that protects them. A girl named Copi and her best friend Xico, a Xoloitzcuintle dog, will go into the mountains to try to save the town.",,0,2020-11-12,85,es
Chaos Walking,False,"['Science Fiction', 'Action', 'Adventure', 'Thriller']",125000000,542.816,7.5,195,"Two unlikely companions embark on a perilous adventure through the badlands of an unexplored planet as they try to escape a dangerous and disorienting reality, where all inner thoughts are seen and heard by everyone.",No one escapes the noise.,0,2021-02-24,109,en
Avengers: Endgame,False,"['Adventure', 'Science Fiction', 'Action']",356000000,330.125,8.3,17756,"After the devastating events of Avengers: Infinity War, the universe is in ruins due to the efforts of the Mad Titan, Thanos. With the help of remaining allies, the Avengers must assemble once more in order to undo Thanos' actions and restore order to the universe once and for all, no matter what consequences may be in store.",Part of the journey is the end.,2797800564,2019-04-24,181,en
